model_name,accuracy_test,accuracy_train,weighted_f1_test,weighted_f1_train,weighted_precision_test,weighted_precision_train,weighted_recall_test,weighted_recall_train,roc_auc_ovr_test,roc_auc_ovr_train,training_time_test,training_time_train,memory_usage_test,memory_usage_train,cohens_kappa_test,cohens_kappa_train,matthews_corrcoef_test,matthews_corrcoef_train,log_loss_test,log_loss_train,confidence_mean_test,confidence_mean_train,confidence_std_test,confidence_std_train,prediction_entropy_test,prediction_entropy_train,ensemble_size,ensemble_type,family,is_ensemble,is_boosting,is_parametric,overfit_gap_f1,underfit_score_f1,brier_approx,z_time,z_mem,complexity_score,co2_proxy,cluster,tradeoff_score
naivebayes_parametric,0.66541822721598,0.6527465667915107,0.6030659024189758,0.5807341514273076,0.5514716130327199,0.5230321153595763,0.66541822721598,0.6527465667915107,0.4982042007198913,0.8799326723854142,8.294962882995605,8.294962882995605,1.5,1.5,0.0010202560189241,-0.0958360344178004,0.0011834373817828,-0.1200724787988873,1.0917329315261284,1.092233267389856,0.3408974950568779,0.3407558208759401,0.0031647942339437,0.0028791355186517,1.09840564837148,1.098424743185452,1,parametric,probabilistic,True,False,True,-0.022331750991668287,0.5807341514273076,1.5750376862879156,-0.23453089798743376,0.1885292896254364,-0.04600160836199735,-0.3815816339208683,0,-3.918099212294653
adaboost_parametric,0.4239700374531835,0.4033707865168539,0.4389794693612047,0.4187983147652574,0.7659748905227561,0.7399330540314281,0.4239700374531835,0.4033707865168539,0.8197435063619224,0.8036065605379403,40.58808326721192,40.58808326721192,0.0,0.0,0.2140086529752672,0.1883028713052867,0.3000689192693734,0.2651106259239333,1.0505957467113267,1.0691537947220393,0.5680853575002018,0.5724943503496746,0.151390175463363,0.1526818270566245,0.9049906758971442,0.8991668834428114,1,parametric,traditional_boosting,True,True,True,-0.02018115459594727,0.4187983147652574,1.5156892737594685,-0.20446990907900608,-0.6123580329326753,-0.8168279420116814,-33.15348052535548,0,-13.224366059173661
ngboost_solo,0.8157303370786517,0.8088639200998752,0.7748736232139873,0.766006693017055,0.8300532087226912,0.8237880586699975,0.8157303370786517,0.8088639200998752,0.852609374855233,0.8495508487840966,20.37948536872864,20.37948536872864,0.0,0.0,0.4458303264225477,0.4233248864924405,0.4993157104545392,0.4757320428548794,0.5277253881719385,0.5328585801205526,0.7748202640105157,0.7731324022821123,0.1139219638664655,0.1147300177781797,0.6304722139504094,0.6327974223346466,1,none,probabilistic_boosting,False,True,False,-0.008866930196932299,0.766006693017055,0.7613468004668589,-0.22328166929459986,-0.6123580329326753,-0.8356397022272752,-17.029907085069514,0,-6.008887644136431
ngboost_cv,0.8144818976279651,0.8077403245942572,0.7722452569629183,0.7634906986102524,0.8287939582217084,0.8236739141572099,0.8144818976279651,0.8077403245942572,0.8543226094201251,0.8516332369531514,40.94836688041687,40.94836688041687,0.0,0.0,0.4407498954124695,0.4185513758603369,0.4950565655122436,0.4717687091305028,0.527853038819723,0.5330148484352186,0.7755047095695405,0.7737338027110844,0.1136690542772155,0.1144958899096319,0.6296917004408558,0.632164590881149,1,none,probabilistic_boosting,False,True,False,-0.00875455835266592,0.7634906986102524,0.761530961423384,-0.20413452861494488,-0.6123580329326753,-0.8164925615476202,-33.43403696538331,0,-13.015130790168854
ngboost_parametric,0.755056179775281,0.7478152309612984,0.7723633492044663,0.765782365472066,0.801974117921602,0.7989432335559302,0.755056179775281,0.7478152309612984,0.8508785939596294,0.8480638181794317,184.44741034507751,184.44741034507751,0.0,0.0,0.4847835015531615,0.4776241302512957,0.4943042707731699,0.4891637028207843,0.7239215778732824,0.7445419989031811,0.6315605064999442,0.6346531389533105,0.159074961148981,0.1583827297466623,0.8296738423216593,0.8254060567900643,1,parametric,probabilistic_boosting,True,True,True,-0.006580983732400236,0.765782365472066,1.044398070390298,-0.07055427676447537,-0.6123580329326753,-0.6829123096971507,-125.96140701641501,0,-66.25906042005128
randomforest_solo,0.6367041198501873,0.6312109862671661,0.6637372885462488,0.6587619503156926,0.7501315140663481,0.7511207974435894,0.6367041198501873,0.6312109862671661,0.7970454587077792,0.819741123250864,0.8529512882232666,0.8529512882232666,0.1000000000000014,0.1000000000000014,0.3463996756267486,0.3433950703445619,0.3778140758045594,0.3770873273452494,0.9804899793854146,0.9736349262144416,0.4107884659908551,0.4122210992254372,0.0455513572159944,0.0471844317580554,1.0756383503255555,1.0746563269724627,1,none,tree_bagging,False,False,False,-0.004975338230556181,0.6587619503156926,1.4145480309006597,-0.24145851059795698,-0.5589655447621338,-0.8004240553600908,-0.6827227291442807,0,0.34380619026347126
ngboost_randomforest,0.8224719101123595,0.8176029962546817,0.7889728449231505,0.7845809266876712,0.8328920765375032,0.8246123180484146,0.8224719101123595,0.8176029962546817,0.8516065335979544,0.8566179604147024,53.2037787437439,53.2037787437439,0.0,0.0,0.4751537322898909,0.4619971755174674,0.5220798936782634,0.506196700413576,0.6774645775953676,0.6775981395343388,0.5761395323681491,0.5754672919267407,0.0584463494307994,0.0592873949765747,0.9550524687508412,0.9549052118146928,2,none,mixed,True,False,False,-0.004391918235479242,0.7845809266876712,0.9773747864747733,-0.19272622258231537,-0.6123580329326753,-0.5550842555149906,-29.532579914555363,0,-19.906400544037723
ngboost_advancedsvm,0.8074906367041198,0.8056803995006242,0.7562910576993241,0.7542536216208675,0.8340791134369709,0.8295738586258568,0.8074906367041198,0.8056803995006242,0.8409057222823886,0.9163799056989628,768.6487138271332,768.6487138271332,4.6000000000000085,4.6000000000000085,0.3907825891377432,0.3887839710308399,0.4714863679051932,0.4637348609113155,0.5385987643056909,0.4768593844457823,0.7502879555875748,0.748903036529694,0.1195476109067549,0.1215484624521293,0.6480562909426381,0.6496819723915667,2,none,mixed,True,False,False,-0.0020374360784566337,0.7542536216208675,0.7770337662927439,0.47326647190639537,1.8436964229122053,2.5669628948186007,1973.092727544292,3,-779.5666113647258
ngboost_advancedsvm_randomforest,0.813732833957553,0.8132334581772784,0.7700533203426844,0.7688062998993027,0.8313992612132659,0.8331503587301345,0.813732833957553,0.8132334581772784,0.8420382116071353,0.9121139444295018,1183.5212976932526,1183.5212976932526,0.0,0.0,0.427640233631244,0.4269255822627448,0.4922866115606875,0.4902135697312785,0.6263834420141099,0.5925994885009517,0.6245076319868547,0.6238162670964914,0.0799257996336942,0.0814203473658747,0.8813719171217368,0.8814977928324242,3,none,mixed,True,False,False,-0.0012470204433816523,0.7688062998993027,0.9036802854887159,0.859462664582336,-0.6123580329326753,0.7471046316496607,884.2142431626459,4,-767.8334441588129
adaboost_solo,0.8047440699126093,0.8033083645443196,0.769010448847456,0.7689422838651253,0.8004590698863919,0.7982457244284916,0.8047440699126093,0.8033083645443196,0.8347269893944086,0.8245324017238274,5.649092435836792,5.649092435836792,0.5,0.5,0.4036007780834126,0.4028886743809711,0.4612766009395974,0.4566003467996046,1.0170166253299466,1.017616265809672,0.3671930566306442,0.3672705059028313,0.011630213499539,0.0116123979165851,1.0948676724279758,1.0948275362168898,1,none,traditional_boosting,False,True,False,-6.816498233064294e-05,0.7689422838651253,1.467244841865143,-0.23699388332978713,-0.34539559207997145,-0.5823894754097586,-3.289971980248225,0,-1.547541373021295
uniform_baseline_solo,0.1612983770287141,0.1612983770287141,0.0448070314171358,0.0448070314171358,0.8275366746117266,0.8275366746117266,0.1612983770287141,0.1612983770287141,0.5,0.5,0.0033051967620849,0.0033051967620849,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681096,1.0986122886681096,0.3333333333333332,0.3333333333333332,5.551115123125783e-17,5.551115123125783e-17,1.0986122886681091,1.0986122886681091,1,none,other,False,False,False,0.0,0.0448070314171358,1.584962500721156,-0.24224942833608884,-0.6123580329326753,-0.8546074612687642,-0.0028246458138391157,0,0.043719362198861175
tabflex_parametric,0.1612983770287141,0.1612983770287141,0.0448070314171358,0.0448070314171358,0.8275366746117266,0.8275366746117266,0.1612983770287141,0.1612983770287141,0.5,0.5,15013.775729894638,15013.775729894638,4.400000000000006,4.400000000000006,0.0,0.0,0.0,0.0,1.0986122886681096,1.0986122886681096,0.3333333333333332,0.3333333333333332,5.551115123125783e-17,5.551115123125783e-17,1.0986122886681091,1.0986122886681091,1,parametric,neural_networks,True,False,True,0.0,0.0448070314171358,1.584962500721156,13.733756636196876,1.7369114465711222,15.470668082767999,232273.1409863178,1,-53962.791255179465
random_baseline,0.1612983770287141,0.1612983770287141,0.0448070314171358,0.0448070314171358,0.8275366746117266,0.8275366746117266,0.1612983770287141,0.1612983770287141,0.5,0.5,0.0030150413513183,0.0030150413513183,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681096,1.0986122886681096,0.3333333333333332,0.3333333333333332,5.551115123125783e-17,5.551115123125783e-17,1.0986122886681091,1.0986122886681091,1,none,other,False,False,False,0.0,0.0448070314171358,1.584962500721156,-0.24224969843567912,-0.6123580329326753,-0.8546077313683544,-0.00257667764923191,0,0.04381484627132303
random_baseline_solo,0.1612983770287141,0.1612983770287141,0.0448070314171358,0.0448070314171358,0.8275366746117266,0.8275366746117266,0.1612983770287141,0.1612983770287141,0.5,0.5,0.0025632381439208,0.0025632381439208,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681096,1.0986122886681096,0.3333333333333332,0.3333333333333332,5.551115123125783e-17,5.551115123125783e-17,1.0986122886681091,1.0986122886681091,1,none,other,False,False,False,0.0,0.0448070314171358,1.584962500721156,-0.24225011900981516,-0.6123580329326753,-0.8546081519424905,-0.002190564213164654,0,0.043963525187808335
random_baseline_parametric,0.1612983770287141,0.1612983770287141,0.0448070314171358,0.0448070314171358,0.8275366746117266,0.8275366746117266,0.1612983770287141,0.1612983770287141,0.5,0.5,0.0572497844696044,0.0572497844696044,0.1000000000000014,0.1000000000000014,0.0,0.0,0.0,0.0,1.0986122886681096,1.0986122886681096,0.3333333333333332,0.3333333333333332,5.551115123125783e-17,5.551115123125783e-17,1.0986122886681091,1.0986122886681091,1,parametric,other,True,False,True,0.0,0.0448070314171358,1.584962500721156,-0.2421992124500595,-0.5589655447621338,-0.8011647572121933,-0.045866509675041,0,-0.004644558882658613
random_baseline_cv,0.1612983770287141,0.1612983770287141,0.0448070314171358,0.0448070314171358,0.8275366746117266,0.8275366746117266,0.1612983770287141,0.1612983770287141,0.5,0.5,0.0118308067321777,0.0118308067321777,0.1000000000000014,0.1000000000000014,0.0,0.0,0.0,0.0,1.0986122886681096,1.0986122886681096,0.3333333333333332,0.3333333333333332,5.551115123125783e-17,5.551115123125783e-17,1.0986122886681091,1.0986122886681091,1,none,other,False,False,False,0.0,0.0448070314171358,1.584962500721156,-0.2422414920244627,-0.5589655447621338,-0.8012070367865964,-0.009478925604683011,0,0.010787413171983142
majority_baseline_parametric,0.1612983770287141,0.1612983770287141,0.0448070314171358,0.0448070314171358,0.8275366746117266,0.8275366746117266,0.1612983770287141,0.1612983770287141,0.5,0.5,0.0525188446044921,0.0525188446044921,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681096,1.0986122886681096,0.3333333333333332,0.3333333333333332,5.551115123125783e-17,5.551115123125783e-17,1.0986122886681091,1.0986122886681091,1,parametric,other,True,False,True,0.0,0.0448070314171358,1.584962500721156,-0.2422036163828204,-0.6123580329326753,-0.8545616493154957,-0.04488059046535899,0,0.027523727207961552
uniform_baseline_parametric,0.1612983770287141,0.1612983770287141,0.0448070314171358,0.0448070314171358,0.8275366746117266,0.8275366746117266,0.1612983770287141,0.1612983770287141,0.5,0.5,0.0517830848693847,0.0517830848693847,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681096,1.0986122886681096,0.3333333333333332,0.3333333333333332,5.551115123125783e-17,5.551115123125783e-17,1.0986122886681091,1.0986122886681091,1,parametric,other,True,False,True,0.0,0.0448070314171358,1.584962500721156,-0.24220430128613643,-0.6123580329326753,-0.8545623342188118,-0.044251873879032226,0,0.027765863758249895
uniform_baseline_cv,0.1612983770287141,0.1612983770287141,0.0448070314171358,0.0448070314171358,0.8275366746117266,0.8275366746117266,0.1612983770287141,0.1612983770287141,0.5,0.5,0.0102307796478271,0.0102307796478271,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681096,1.0986122886681096,0.3333333333333332,0.3333333333333332,5.551115123125783e-17,5.551115123125783e-17,1.0986122886681091,1.0986122886681091,1,none,other,False,False,False,0.0,0.0448070314171358,1.584962500721156,-0.2422429814561393,-0.6123580329326753,-0.8546010143888146,-0.00874323466502148,0,0.04144028852622655
majority_baseline_solo,0.7350811485642946,0.7352059925093632,0.622846136529942,0.6230128915587654,0.5403442949746026,0.5405278514216779,0.7350811485642946,0.7352059925093632,0.5,0.5,0.0021898746490478,0.0021898746490478,0.0,0.0,0.0,0.0,0.0,0.0,0.5930157534571501,0.5930157534571501,1.0,1.0,0.0,0.0,0.8086702995003565,0.8086702995003565,1,none,other,False,False,False,0.00016675502882335103,0.622846136529942,0.8555408866816626,-0.24225046656606694,-0.6123580329326753,-0.8546084994987423,-0.0018714854879130752,0,0.6221254963030007
