feature,importance_weight,importance_gain,importance_cover,importance_weight_norm,importance_gain_norm,importance_cover_norm
AgeFailureInteraction,0.23397535,24.776859283447266,281.13958740234375,0.23397535,0.23397534762892525,0.06856971649433154
AssetAgeYears,0.10542634,11.164140701293945,205.95013427734375,0.10542634,0.10542634446443251,0.050231070088172305
MaintenanceRiskScore,0.0899797,9.52841567993164,222.50021362304688,0.0899797,0.08997970023401303,0.054267620967325
AnomalyRate,0.080088384,8.480973243713379,239.1277618408203,0.080088384,0.08008838570815685,0.058323066441308954
NumberOfRepairs,0.06325794,6.6987104415893555,182.38893127441406,0.06325794,0.06325794106129798,0.04448451185671204
TotalAnomalies,0.05694883,6.030606269836426,205.3152618408203,0.05694883,0.05694883206366728,0.05007622521774793
InspectionDefectSeverityScore,0.040123563,4.248891830444336,215.0081024169922,0.040123563,0.040123565771311,0.0524403011434257
ElectricalRiskScore,0.027141081,2.8741095066070557,125.6860580444336,0.027141081,0.02714108205720988,0.030654727237196845
PartialDischargeSeverityScore,0.023999136,2.5413925647735596,132.22232055664062,0.023999136,0.02399913572587914,0.03224891634281416
WarrantyUtilizationRatio,0.022093946,2.339642286300659,127.37914276123047,0.022093946,0.022093947057698526,0.03106766922129922
NumberOfFailuresPast3Years,0.01924664,2.038126230239868,152.85374450683594,0.01924664,0.019246640091732232,0.037280903848418145
VibrationAnomaliesPast1Year,0.017825508,1.887635350227356,139.9996795654297,0.017825508,0.017825509367975244,0.03414580787358282
FailureRatePerYear,0.0147348195,1.560346245765686,81.77008819580078,0.0147348195,0.0147348197403864,0.01994365794269428
FailureToRepairRatio,0.013959439,1.4782371520996094,65.30270385742188,0.013959439,0.013959438828938476,0.015927276308506738
AvgVoltageDeviationPercent,0.01125124,1.1914520263671875,57.593971252441406,0.01125124,0.011251240476580052,0.014047122701758882
RatedLifespanYears,0.010796688,1.1433171033859253,88.82199096679688,0.010796688,0.010796687895528892,0.021663611287652353
YearsRemainingWarranty,0.009315351,0.986450731754303,52.85188674926758,0.009315351,0.009315351483439035,0.012890532151921283
TimeSinceLastInspectionDays,0.008347871,0.8839991688728333,48.21961975097656,0.008347871,0.008347870505882973,0.011760726002123202
LoadVoltageStress,0.008309729,0.8799601793289185,56.4835090637207,0.008309729,0.00830972911064817,0.01377628187794675
TemperatureAnomaliesPast1Year,0.008228053,0.8713111281394958,98.6609878540039,0.008228053,0.008228053514255793,0.024063334618607102
OverloadEventCountPast3Years,0.0077824634,0.8241252899169922,57.50917053222656,0.0077824634,0.007782463426546483,0.014026439875133951
InspectionRecencyDecay,0.007543922,0.7988649010658264,47.039302825927734,0.007543922,0.007543921963519252,0.011472847664988725
PDThresholdBreachesPast1Year,0.0068878597,0.7293910980224609,129.40631103515625,0.0068878597,0.006887859908509941,0.03156209391301105
MaterialInstallationType_1_1,0.006711784,0.7107455134391785,37.17143630981445,0.006711784,0.0067117840352642726,0.009066083055046234
EnvironmentalStress,0.0059836926,0.633644163608551,62.98006820678711,0.0059836926,0.005983692757717552,0.015360787364152808
RepairRecencyDecay,0.0054625217,0.5784546732902527,41.09109878540039,0.0054625217,0.005462521771719586,0.010022085541881203
SoilCorrosivityIndex,0.0051091053,0.5410295724868774,25.930654525756836,0.0051091053,0.005109105268427448,0.006324465528929557
ConnectedLoadKW,0.004662352,0.49372056126594543,28.4280948638916,0.004662352,0.00466235202098122,0.006933589194257881
LastRepairAgeYears,0.0046219835,0.4894457459449768,30.785032272338867,0.0046219835,0.004621983651877986,0.007508444309417541
InsulationResistanceTrend,0.004597298,0.4868316352367401,25.97747039794922,0.004597298,0.004597297816812974,0.006335883882044917
FloodZoneRisk_1,0.0043730093,0.46308058500289917,48.75681686401367,0.0043730093,0.004373009493121861,0.011891747940665824
InstallationType_2,0.004298869,0.4552294909954071,16.690784454345703,0.004298869,0.004298869246827709,0.004070868740603906
FCITriggerRatePerYear,0.0042984346,0.4551834464073181,30.768150329589844,0.0042984346,0.004298434433908875,0.007504326817324485
AvgGroundTemperatureCelsius,0.004275459,0.45275044441223145,56.74987030029297,0.004275459,0.004275458862991274,0.013841247166704542
MaterialInstallationType_0_2,0.004248552,0.44990116357803345,93.58967590332031,0.004248552,0.00424855224556865,0.022826445762342846
PeakLoadKW,0.004126046,0.43692833185195923,36.03138732910156,0.004126046,0.004126045886787834,0.008788026036753539
AvgRepairDurationHours,0.0041082297,0.4350416660308838,29.31029510498047,0.0041082297,0.004108229532975766,0.007148757114868518
SwitchingEventsPerYear,0.004068383,0.43082213401794434,40.84035110473633,0.004068383,0.004068383220807441,0.009960928386698572
LastFCITriggerRecencyDays,0.004065909,0.4305601418018341,29.63791275024414,0.004065909,0.004065909149370897,0.007228662791837876
SensitiveCustomerCount,0.003856023,0.40833422541618347,35.44937515258789,0.003856023,0.0038560231241401596,0.008646073740712506
MaterialInstallationType_1_0,0.003811015,0.4035680890083313,42.68732452392578,0.003811015,0.0038110150619755133,0.01041140370003515
FailureImpactScore,0.003805336,0.40296670794487,30.29758071899414,0.003805336,0.003805336039393551,0.007389555272386498
CriticalityScore,0.0037666287,0.39886778593063354,33.143157958984375,0.0037666287,0.00376662868378349,0.008083589244662386
EstimatedDowntimeCostPerFailure,0.0037289541,0.39487823843955994,33.961753845214844,0.0037289541,0.0037289541847508514,0.008283244114902766
MaterialType_1,0.0035033773,0.3709907531738281,31.53350067138672,0.0035033773,0.003503377463944904,0.007690995142624211
FailureRootCauseMajorCategory_2,0.003277481,0.3470694124698639,25.101016998291016,0.003277481,0.0032774810360348826,0.00612211761138077
MaterialInstallationType_0_1,0.0032690633,0.3461780250072479,51.910980224609375,0.0032690633,0.0032690633956450462,0.01266104581654032
FailureRootCauseMajorCategory_1,0.0030608412,0.32412829995155334,23.264070510864258,0.0030608412,0.003060841198230582,0.0056740878585382825
InstallationType_1,0.0030460218,0.3225589990615845,25.68808937072754,0.0030460218,0.003046021817086897,0.006265304085087928
MaterialInstallationType_1_2,0.0025997604,0.27530208230018616,119.04825592041016,0.0025997604,0.002599760513318417,0.029035772702919953
